epoch,train_loss,val_loss,val_cer,val_wa_pct,lr,epoch_time_min,elapsed_total_min
1,5.786097,3.286642,0.940148,4.4691,1.400000e-04,0.66,0.66
2,2.917288,3.103026,0.799535,10.3817,2.800000e-04,0.64,1.3
3,2.573803,2.257417,0.622526,22.6926,4.200000e-04,0.64,1.93
4,2.085487,1.768743,0.51733,31.4365,5.600000e-04,0.67,2.61
5,1.640657,1.209321,0.387273,41.3046,7.000000e-04,0.92,3.53
6,1.146941,0.779257,0.229533,57.5017,7.000000e-04,1.33,4.86
7,0.83637,0.606647,0.160018,69.2158,6.998106e-04,1.5,6.36
8,0.666484,0.484652,0.135491,72.6024,6.992424e-04,1.21,7.57
9,0.569201,0.468828,0.127988,74.1846,6.982962e-04,1.08,8.65
10,0.497916,0.431949,0.118799,75.7946,6.969730e-04,1.04,9.69
11,0.435026,0.388024,0.10634,78.0291,6.952742e-04,1.03,10.72
12,0.39731,0.37353,0.102956,78.5427,6.932017e-04,1.01,11.72
13,0.366649,0.344624,0.098677,79.0007,6.907577e-04,0.86,12.59
14,0.337467,0.324365,0.091629,80.1388,6.879449e-04,0.85,13.44
15,0.296363,0.338849,0.090803,80.7634,6.847664e-04,0.9,14.35
16,0.287193,0.329139,0.092663,80.694,6.812257e-04,0.93,15.28
17,0.262885,0.332317,0.088238,80.9854,6.773266e-04,0.86,16.14
18,0.254984,0.335903,0.091059,81.2491,6.730734e-04,0.85,16.99
19,0.234719,0.309934,0.084765,81.5822,6.684708e-04,0.84,17.83
20,0.22697,0.32282,0.084971,81.8876,6.635237e-04,0.86,18.69
21,0.212538,0.317256,0.085199,81.6794,6.582377e-04,0.86,19.55
22,0.20437,0.32206,0.086167,81.9431,6.526184e-04,0.8,20.35
23,0.184531,0.323169,0.085796,81.4296,6.466720e-04,0.79,21.13
24,0.187753,0.30713,0.08082,82.5399,6.404051e-04,0.79,21.92
25,0.178394,0.316026,0.083199,82.1513,6.338244e-04,0.84,22.76
26,0.161659,0.329068,0.084524,81.8043,6.269372e-04,0.96,23.71
27,0.161833,0.296261,0.078918,82.5954,6.197510e-04,0.76,24.47
28,0.1576,0.344312,0.086979,81.9709,6.122736e-04,0.85,25.31
29,0.152458,0.31631,0.083251,82.5954,6.045133e-04,0.79,26.11
30,0.141548,0.306307,0.079869,82.6926,5.964785e-04,0.8,26.9
31,0.141824,0.30211,0.079387,82.8452,5.881781e-04,0.82,27.72
32,0.12907,0.303579,0.077993,83.1645,5.796210e-04,0.75,28.47
33,0.126953,0.324215,0.082464,82.4983,5.708166e-04,0.77,29.24
34,0.132899,0.314273,0.080421,82.8036,5.617746e-04,0.77,30.01
35,0.11664,0.302621,0.077048,82.7203,5.525049e-04,0.8,30.81
36,0.117875,0.305737,0.078558,83.2061,5.430175e-04,0.8,31.61
37,0.110547,0.323899,0.083635,82.3178,5.333230e-04,0.73,32.34
38,0.106347,0.313647,0.080382,82.7897,5.234317e-04,0.76,33.1
39,0.106059,0.301408,0.077519,83.1506,5.133547e-04,0.78,33.88
40,0.103527,0.311367,0.078005,83.1367,5.031029e-04,0.76,34.64
