epoch,train_loss,val_loss,val_cer,val_wa_pct,lr,epoch_time_min,elapsed_total_min
1,5.786956,3.432364,0.950643,4.4691,1.400000e-04,0.69,0.69
2,2.943242,2.8338,0.7822,10.3817,2.800000e-04,0.64,1.33
3,2.680031,2.478944,0.658837,20.4164,4.200000e-04,0.63,1.96
4,2.241333,1.882835,0.544707,29.424,5.600000e-04,0.7,2.66
5,1.809697,1.417574,0.427219,37.5156,7.000000e-04,0.91,3.56
6,1.346186,0.965292,0.267487,54.3928,7.000000e-04,1.55,5.11
7,0.969455,0.696703,0.188141,65.2464,6.998106e-04,1.45,6.56
8,0.756041,0.577347,0.163496,69.6044,6.992424e-04,1.31,7.88
9,0.626067,0.495862,0.136673,73.4629,6.982962e-04,1.1,8.98
10,0.539077,0.451148,0.120326,75.6974,6.969730e-04,1.11,10.08
11,0.48071,0.411543,0.114493,76.8772,6.952742e-04,1.04,11.13
12,0.430282,0.372336,0.104973,77.585,6.932017e-04,0.99,12.12
13,0.393608,0.368983,0.10301,78.2235,6.907577e-04,0.97,13.1
14,0.353981,0.3589,0.101714,79.2366,6.879449e-04,0.99,14.09
15,0.325142,0.331828,0.09302,80.3747,6.847664e-04,0.93,15.01
16,0.298586,0.361203,0.097764,79.9861,6.812257e-04,0.83,15.85
17,0.282453,0.320045,0.089237,80.7634,6.773266e-04,0.85,16.7
18,0.274457,0.319025,0.087095,81.3046,6.730734e-04,0.89,17.59
19,0.251024,0.330591,0.090942,80.8605,6.684708e-04,0.8,18.39
20,0.23892,0.322837,0.086961,81.5267,6.635237e-04,0.9,19.29
21,0.223244,0.307579,0.085967,81.3185,6.582377e-04,0.8,20.09
22,0.209144,0.2896,0.077296,82.762,6.526184e-04,0.84,20.93
23,0.204551,0.327929,0.089196,81.6933,6.466720e-04,0.83,21.76
24,0.188091,0.297382,0.080118,82.6509,6.404051e-04,0.82,22.58
25,0.181336,0.33976,0.09268,81.0132,6.338244e-04,0.85,23.43
26,0.18037,0.305146,0.082257,82.4983,6.269372e-04,0.79,24.23
27,0.163906,0.317456,0.084071,81.9153,6.197510e-04,0.76,24.99
28,0.166931,0.317232,0.082671,82.5399,6.122736e-04,0.82,25.81
29,0.160653,0.314413,0.081767,82.2346,6.045133e-04,0.8,26.61
30,0.14293,0.308469,0.077662,82.6371,5.964785e-04,0.83,27.44
31,0.147235,0.292749,0.077307,83.1228,5.881781e-04,0.76,28.2
32,0.13893,0.302,0.079522,82.7203,5.796210e-04,0.79,28.99
33,0.128856,0.323567,0.084147,82.179,5.708166e-04,0.85,29.84
34,0.127313,0.291053,0.075754,83.4421,5.617746e-04,0.76,30.61
35,0.123695,0.29725,0.073913,83.331,5.525049e-04,0.82,31.43
36,0.119624,0.302597,0.075666,83.4698,5.430175e-04,0.74,32.17
