epoch,train_loss,val_loss,val_cer,val_wa_pct,lr,epoch_time_min,elapsed_total_min
1,5.776085,3.27275,0.939943,4.4691,1.400000e-04,0.6,0.6
2,2.947575,2.831997,0.774957,10.1735,2.800000e-04,0.62,1.22
3,2.674693,2.463802,0.665501,19.4032,4.200000e-04,0.58,1.8
4,2.234933,1.896563,0.545516,29.4795,5.600000e-04,0.63,2.43
5,1.790631,1.437134,0.439386,37.0715,7.000000e-04,0.86,3.28
6,1.310269,0.990233,0.271622,53.6294,7.000000e-04,1.51,4.79
7,0.935089,0.680992,0.183797,66.1346,6.998106e-04,1.37,6.16
8,0.719563,0.577736,0.161495,69.1048,6.992424e-04,1.21,7.37
9,0.599994,0.488655,0.131846,73.6988,6.982962e-04,1.15,8.52
10,0.50476,0.427029,0.120308,75.5031,6.969730e-04,1.01,9.53
11,0.450653,0.408917,0.111666,77.3352,6.952742e-04,0.99,10.52
12,0.400256,0.384915,0.102823,78.4594,6.932017e-04,0.97,11.49
13,0.355424,0.356758,0.099399,79.0701,6.907577e-04,0.87,12.36
14,0.32541,0.361139,0.099681,79.3199,6.879449e-04,0.9,13.26
15,0.312364,0.341316,0.091817,80.5413,6.847664e-04,0.84,14.1
16,0.277828,0.341513,0.090953,80.9715,6.812257e-04,0.77,14.86
17,0.254667,0.32962,0.088744,80.7911,6.773266e-04,0.81,15.68
18,0.243728,0.348335,0.093058,80.7356,6.730734e-04,0.84,16.52
19,0.225551,0.347657,0.093153,80.7634,6.684708e-04,0.79,17.31
20,0.215115,0.331118,0.087783,81.5406,6.635237e-04,0.77,18.08
21,0.203826,0.328226,0.086324,81.7349,6.582377e-04,0.77,18.85
22,0.192654,0.331241,0.086135,81.4296,6.526184e-04,0.78,19.63
23,0.181671,0.310397,0.083255,81.7488,6.466720e-04,0.77,20.4
24,0.177513,0.305127,0.078314,82.7759,6.404051e-04,0.78,21.18
25,0.17519,0.316514,0.081492,82.1374,6.338244e-04,0.77,21.96
26,0.157681,0.338061,0.089934,81.8043,6.269372e-04,0.74,22.69
27,0.149557,0.312798,0.082336,81.9709,6.197510e-04,0.74,23.43
28,0.149596,0.339415,0.086798,81.5406,6.122736e-04,0.74,24.18
29,0.134339,0.305874,0.078958,82.8314,6.045133e-04,0.76,24.93
30,0.130349,0.315646,0.078438,82.9979,5.964785e-04,0.74,25.67
