epoch,train_loss,val_loss,val_cer,val_wa_pct,lr,epoch_time_min,elapsed_total_min
1,5.744983,3.138818,0.9163,4.4691,1.400000e-04,0.59,0.59
2,2.884997,2.915613,0.780323,11.2283,2.800000e-04,0.7,1.29
3,2.59272,2.327745,0.639766,21.957,4.200000e-04,0.79,2.08
4,2.13449,1.907736,0.554963,28.6745,5.600000e-04,0.79,2.86
5,1.676421,1.28474,0.402637,39.7502,7.000000e-04,1.3,4.17
6,1.151958,0.787752,0.221027,59.7641,7.000000e-04,2.87,7.04
7,0.822493,0.620788,0.166861,68.1471,6.998106e-04,2.98,10.02
8,0.652863,0.551304,0.15534,69.8959,6.992424e-04,2.57,12.58
9,0.548939,0.490137,0.137145,73.3796,6.982962e-04,2.19,14.78
10,0.473089,0.414911,0.116185,76.2526,6.969730e-04,2.02,16.8
11,0.412971,0.403676,0.110794,77.5989,6.952742e-04,1.87,18.68
12,0.365942,0.418653,0.11438,76.8772,6.932017e-04,1.9,20.57
13,0.339161,0.354591,0.095589,79.9861,6.907577e-04,1.66,22.23
14,0.301598,0.326628,0.086883,81.152,6.879449e-04,1.61,23.84
15,0.277328,0.359733,0.096773,80.2776,6.847664e-04,1.71,25.55
16,0.256479,0.334539,0.090533,80.7217,6.812257e-04,1.38,26.93
17,0.243227,0.335342,0.091789,80.4719,6.773266e-04,1.4,28.33
18,0.22866,0.319836,0.08849,81.2491,6.730734e-04,1.39,29.72
19,0.212833,0.319709,0.086779,81.4157,6.684708e-04,1.26,30.99
20,0.203172,0.352058,0.093079,80.8744,6.635237e-04,1.11,32.09
21,0.185247,0.336177,0.091134,80.9022,6.582377e-04,1.1,33.19
22,0.184168,0.313542,0.08114,82.4566,6.526184e-04,0.97,34.16
23,0.170026,0.320563,0.084746,81.8321,6.466720e-04,0.94,35.1
24,0.166426,0.305464,0.082197,82.4427,6.404051e-04,0.86,35.97
25,0.14704,0.336216,0.087682,81.6655,6.338244e-04,0.88,36.85
26,0.152168,0.330686,0.082977,82.2068,6.269372e-04,0.89,37.74
27,0.13789,0.335673,0.083104,82.2901,6.197510e-04,0.87,38.61
28,0.13191,0.309488,0.079179,83.0396,6.122736e-04,0.81,39.42
29,0.128461,0.318336,0.0798,82.7203,6.045133e-04,0.81,40.22
30,0.127078,0.323955,0.080554,82.4011,5.964785e-04,0.91,41.13
31,0.124519,0.349502,0.084685,82.0819,5.881781e-04,0.88,42.01
32,0.115814,0.314796,0.076461,83.1228,5.796210e-04,0.86,42.88
33,0.108251,0.310233,0.079412,82.6787,5.708166e-04,0.87,43.74
34,0.104604,0.308354,0.077384,83.0396,5.617746e-04,0.87,44.61
35,0.100602,0.32942,0.080728,82.9008,5.525049e-04,0.75,45.37
36,0.098113,0.322132,0.079934,82.7897,5.430175e-04,0.87,46.24
37,0.098291,0.318428,0.077967,82.8591,5.333230e-04,0.77,47.01
38,0.103124,0.316602,0.07898,82.8036,5.234317e-04,0.8,47.81
39,0.092266,0.322055,0.078143,82.8869,5.133547e-04,0.79,48.6
40,0.086468,0.334112,0.081246,82.3872,5.031029e-04,0.79,49.38
41,0.085829,0.32648,0.081091,82.5121,4.926875e-04,0.87,50.26
42,0.0829,0.325751,0.078312,82.9424,4.821198e-04,0.76,51.02
43,0.079456,0.329912,0.080168,82.6509,4.714116e-04,0.78,51.79
44,0.079351,0.3209,0.080984,82.7065,4.605744e-04,0.78,52.57
45,0.078643,0.32305,0.077988,83.1506,4.496201e-04,0.78,53.35
46,0.072315,0.334844,0.079231,82.7481,4.385607e-04,0.84,54.19
47,0.072971,0.32468,0.075715,83.3727,4.274083e-04,0.77,54.96
48,0.068278,0.34138,0.081787,82.7481,4.161751e-04,0.77,55.73
49,0.061528,0.326434,0.076805,83.4698,4.048734e-04,0.74,56.46
50,0.06202,0.327678,0.072718,83.8029,3.935154e-04,0.74,57.2
51,0.061031,0.338916,0.080116,82.9979,3.821137e-04,0.83,58.03
52,0.056441,0.324403,0.074742,83.567,3.706808e-04,0.75,58.79
53,0.055729,0.335679,0.074627,83.7058,3.592290e-04,0.73,59.52
54,0.054036,0.343711,0.077741,83.2339,3.477710e-04,0.77,60.29
55,0.050818,0.33778,0.075068,83.9001,3.363192e-04,0.72,61.02
56,0.052535,0.333872,0.076683,83.5947,3.248863e-04,0.77,61.78
57,0.051026,0.350174,0.077763,83.3033,3.134846e-04,0.75,62.53
58,0.048022,0.342975,0.074805,83.3865,3.021266e-04,0.7,63.23
59,0.046098,0.347161,0.078086,82.9285,2.908249e-04,0.71,63.94
60,0.04476,0.339239,0.075807,83.5531,2.795917e-04,0.74,64.69
61,0.043831,0.330457,0.073722,83.9833,2.684393e-04,0.7,65.39
62,0.041477,0.327709,0.072195,84.0805,2.573799e-04,0.79,66.18
63,0.038674,0.335106,0.074054,83.8584,2.464256e-04,0.71,66.89
64,0.038443,0.347344,0.077203,83.4143,2.355884e-04,0.69,67.58
65,0.037618,0.339886,0.074885,83.7196,2.248802e-04,0.71,68.28
66,0.038214,0.329273,0.073389,83.6086,2.143125e-04,0.72,69.0
67,0.034009,0.337245,0.07484,83.6919,2.038971e-04,0.71,69.71
68,0.033387,0.349212,0.077508,83.3449,1.936453e-04,0.77,70.48
69,0.031783,0.332592,0.073179,84.0666,1.835683e-04,0.66,71.14
70,0.030071,0.335847,0.075227,83.6364,1.736770e-04,0.65,71.79
71,0.029399,0.337967,0.074994,83.8584,1.639825e-04,0.73,72.52
72,0.028622,0.340946,0.073432,84.0389,1.544951e-04,0.68,73.2
73,0.027725,0.333954,0.070992,84.0111,1.452254e-04,0.72,73.92
74,0.027096,0.339509,0.072113,83.9278,1.361834e-04,0.71,74.64
75,0.027047,0.340223,0.069726,84.3442,1.273790e-04,0.66,75.3
76,0.024957,0.342583,0.072954,84.1915,1.188219e-04,0.64,75.94
77,0.02337,0.341151,0.071237,84.3442,1.105215e-04,0.71,76.65
78,0.023123,0.346879,0.07143,84.3581,1.024867e-04,0.67,77.32
79,0.021387,0.334822,0.071614,84.025,9.472636e-05,0.69,78.01
80,0.020779,0.33532,0.071299,84.2332,8.724902e-05,0.68,78.69
81,0.02054,0.336749,0.072343,84.025,8.006281e-05,0.64,79.32
82,0.019923,0.34418,0.071107,84.2609,7.317561e-05,0.61,79.93
83,0.020439,0.342266,0.07365,83.9972,6.659494e-05,0.69,80.62
84,0.018399,0.33201,0.070839,84.2748,6.032800e-05,0.66,81.28
85,0.018926,0.334352,0.071582,84.2609,5.438163e-05,0.69,81.97
86,0.016477,0.330894,0.068889,84.4552,4.876235e-05,0.68,82.65
87,0.01666,0.332009,0.069154,84.6079,4.347629e-05,0.63,83.29
88,0.016401,0.333932,0.070254,84.372,3.852924e-05,0.65,83.94
89,0.01698,0.331111,0.070766,84.3303,3.392660e-05,0.66,84.6
90,0.0163,0.334757,0.070698,84.372,2.967341e-05,0.64,85.24
91,0.016077,0.338241,0.069614,84.5385,2.577433e-05,0.67,85.91
92,0.01474,0.334934,0.070369,84.3442,2.223360e-05,0.66,86.57
93,0.014232,0.336013,0.069366,84.4275,1.905511e-05,0.6,87.18
94,0.014138,0.337318,0.069832,84.3858,1.624233e-05,0.63,87.8
95,0.014157,0.335359,0.06924,84.4414,1.379834e-05,0.61,88.41
96,0.014464,0.336826,0.069286,84.4691,1.172581e-05,0.63,89.04
97,0.012982,0.334948,0.068865,84.483,1.002700e-05,0.65,89.69
98,0.013654,0.336149,0.069508,84.4691,8.703774e-06,0.69,90.38
99,0.012962,0.33445,0.068648,84.5524,7.757578e-06,0.62,91.0
100,0.013088,0.334609,0.068944,84.5802,7.189446e-06,0.63,91.62
