epoch,train_loss,val_loss,val_cer,val_wa_pct,lr,epoch_time_min,elapsed_total_min
1,5.701227,3.131633,0.880648,5.0382,1.400000e-04,1.14,1.14
2,2.845779,2.902778,0.763449,11.9362,2.800000e-04,0.71,1.85
3,2.405357,2.113493,0.601167,25.2464,4.200000e-04,0.81,2.66
4,1.891632,1.631993,0.489891,33.6988,5.600000e-04,0.88,3.54
5,1.371215,1.12461,0.348749,44.1083,7.000000e-04,1.43,4.97
6,0.867324,0.736992,0.21552,60.1249,7.000000e-04,1.77,6.74
7,0.611699,0.595137,0.159762,69.6461,6.998106e-04,1.6,8.34
8,0.475177,0.488355,0.133352,73.2963,6.992424e-04,1.41,9.75
9,0.374582,0.44898,0.121897,75.1561,6.982962e-04,1.32,11.07
10,0.316436,0.423055,0.115641,76.5302,6.969730e-04,1.18,12.25
11,0.2579,0.441303,0.115171,77.3768,6.952742e-04,1.26,13.51
12,0.231216,0.374193,0.098611,79.2783,6.932017e-04,1.15,14.66
13,0.196926,0.403497,0.106156,78.2373,6.907577e-04,1.12,15.79
14,0.17483,0.408807,0.107912,78.5566,6.879449e-04,1.06,16.85
15,0.18532,0.390965,0.101867,79.3616,6.847664e-04,1.13,17.98
16,0.136522,0.366534,0.094312,80.3886,6.812257e-04,1.14,19.12
17,0.129595,0.399418,0.097909,79.4726,6.773266e-04,1.15,20.27
18,0.120411,0.382737,0.093398,80.6384,6.730734e-04,1.09,21.36
19,0.110511,0.389302,0.096952,80.0972,6.684708e-04,1.02,22.38
20,0.108893,0.384414,0.092316,81.0965,6.635237e-04,0.97,23.35
21,0.10846,0.411325,0.097534,79.6391,6.582377e-04,1.0,24.35
22,0.095471,0.401845,0.093332,80.6523,6.526184e-04,1.03,25.38
23,0.089068,0.38213,0.08799,81.2491,6.466720e-04,0.96,26.34
24,0.093852,0.399538,0.092408,80.694,6.404051e-04,1.06,27.4
25,0.078519,0.406386,0.091433,80.9299,6.338244e-04,1.01,28.41
26,0.063233,0.395363,0.085935,81.6239,6.269372e-04,1.06,29.47
27,0.057942,0.388688,0.084199,81.5128,6.197510e-04,0.94,30.4
28,0.062874,0.415382,0.088607,81.3879,6.122736e-04,0.98,31.39
29,0.063495,0.465227,0.097507,80.1527,6.045133e-04,1.02,32.4
30,0.067455,0.445006,0.093152,80.6801,5.964785e-04,1.04,33.44
31,0.063243,0.426894,0.090837,81.0132,5.881781e-04,0.95,34.38
32,0.059284,0.457216,0.098432,80.569,5.796210e-04,0.97,35.35
33,0.047093,0.420621,0.090639,81.0548,5.708166e-04,0.93,36.28
34,0.051837,0.451633,0.094559,80.2915,5.617746e-04,0.96,37.24
35,0.055147,0.41438,0.082544,82.1235,5.525049e-04,0.96,38.19
36,0.042379,0.440556,0.086428,81.8598,5.430175e-04,0.88,39.08
37,0.047333,0.422025,0.086255,81.9292,5.333230e-04,0.89,39.97
38,0.037302,0.412857,0.081717,82.5677,5.234317e-04,0.87,40.84
39,0.032888,0.435559,0.086524,81.6655,5.133547e-04,0.9,41.74
40,0.030684,0.431745,0.08309,82.1374,5.031029e-04,0.96,42.69
41,0.036405,0.457118,0.087877,81.3324,4.926875e-04,1.23,43.92
42,0.041259,0.478717,0.093733,80.805,4.821198e-04,0.91,44.83
43,0.037176,0.486535,0.092983,80.3609,4.714116e-04,0.97,45.79
44,0.045634,0.462243,0.089801,81.5545,4.605744e-04,0.92,46.71
45,0.025935,0.446102,0.084721,82.0958,4.496201e-04,0.92,47.63
46,0.02042,0.461054,0.087212,81.7488,4.385607e-04,0.95,48.58
47,0.027752,0.509236,0.088883,81.7488,4.274083e-04,0.93,49.51
48,0.020523,0.489912,0.090036,81.5406,4.161751e-04,0.85,50.36
49,0.015734,0.484285,0.083883,81.9986,4.048734e-04,0.87,51.23
50,0.015023,0.491563,0.087143,81.7627,3.935154e-04,0.87,52.1
51,0.019792,0.472415,0.08403,82.1652,3.821137e-04,0.84,52.95
52,0.016353,0.484632,0.084103,81.9153,3.706808e-04,0.89,53.84
53,0.017898,0.464077,0.085054,82.068,3.592290e-04,0.9,54.74
