epoch,train_loss,val_loss,val_cer,val_wa_pct,lr,epoch_time_min,elapsed_total_min
1,5.789007,3.188228,0.93436,4.4691,1.400000e-04,0.58,0.58
2,2.925518,2.82587,0.785605,10.2429,2.800000e-04,0.57,1.15
3,2.607958,2.393114,0.652489,20.3609,4.200000e-04,0.62,1.77
4,2.122217,1.847264,0.529084,30.118,5.600000e-04,0.62,2.39
5,1.680952,1.299838,0.405251,39.8751,7.000000e-04,0.96,3.35
6,1.179778,0.853746,0.246883,56.9882,7.000000e-04,1.39,4.74
7,0.846931,0.642225,0.167088,68.7578,6.998106e-04,1.44,6.18
8,0.659667,0.559864,0.154905,70.0625,6.992424e-04,1.19,7.37
9,0.559057,0.496199,0.133631,73.338,6.982962e-04,1.09,8.46
10,0.483642,0.433208,0.119045,75.7946,6.969730e-04,1.02,9.48
11,0.417707,0.402154,0.109904,77.7238,6.952742e-04,0.91,10.39
12,0.380076,0.388438,0.107663,77.9736,6.932017e-04,0.97,11.36
13,0.345598,0.350535,0.0951,79.9445,6.907577e-04,0.83,12.19
14,0.31495,0.338605,0.093626,80.4441,6.879449e-04,0.87,13.07
15,0.291569,0.374266,0.096084,79.9584,6.847664e-04,0.82,13.89
16,0.268494,0.331397,0.089961,80.7495,6.812257e-04,0.77,14.66
17,0.248145,0.344065,0.090291,80.7772,6.773266e-04,0.8,15.45
18,0.23244,0.328555,0.088421,81.499,6.730734e-04,0.78,16.24
19,0.213806,0.332907,0.088251,81.4434,6.684708e-04,0.83,17.07
20,0.208542,0.347612,0.090943,81.2353,6.635237e-04,0.76,17.83
21,0.194693,0.329543,0.087504,81.1936,6.582377e-04,0.75,18.58
22,0.182769,0.328132,0.081917,82.2068,6.526184e-04,0.86,19.44
23,0.178462,0.333649,0.088233,81.4157,6.466720e-04,0.77,20.21
24,0.16174,0.314519,0.081889,82.2762,6.404051e-04,0.8,21.0
25,0.156128,0.33857,0.086797,81.9847,6.338244e-04,0.74,21.75
26,0.158911,0.335511,0.083273,82.0819,6.269372e-04,0.76,22.5
27,0.150088,0.322979,0.083319,82.3456,6.197510e-04,0.73,23.23
28,0.14095,0.340033,0.085851,82.1652,6.122736e-04,0.75,23.98
29,0.130214,0.322968,0.082003,82.5954,6.045133e-04,0.79,24.77
30,0.126844,0.299782,0.078025,82.7897,5.964785e-04,0.7,25.47
31,0.130052,0.356766,0.088311,81.8182,5.881781e-04,0.7,26.17
32,0.127097,0.324652,0.078884,82.9563,5.796210e-04,0.74,26.91
33,0.113369,0.320834,0.07764,82.762,5.708166e-04,0.71,27.63
34,0.108765,0.30613,0.077222,83.0951,5.617746e-04,0.73,28.36
35,0.105391,0.312378,0.077496,83.0951,5.525049e-04,0.74,29.1
36,0.115748,0.316687,0.078732,82.5815,5.430175e-04,0.69,29.78
37,0.098459,0.316279,0.077371,83.2477,5.333230e-04,0.71,30.49
38,0.099033,0.341672,0.084874,82.415,5.234317e-04,0.76,31.25
39,0.098593,0.349892,0.085083,81.9709,5.133547e-04,0.72,31.97
40,0.094502,0.35049,0.083588,82.2068,5.031029e-04,0.75,32.72
41,0.086381,0.316945,0.077375,83.3033,4.926875e-04,0.71,33.42
42,0.086897,0.327143,0.079336,83.1367,4.821198e-04,0.67,34.1
43,0.085051,0.337912,0.084409,82.6509,4.714116e-04,0.74,34.84
44,0.084847,0.336956,0.083692,82.8452,4.605744e-04,0.71,35.55
45,0.077643,0.329006,0.077909,83.1228,4.496201e-04,0.71,36.26
46,0.074706,0.330045,0.081029,82.6509,4.385607e-04,0.73,36.99
47,0.072237,0.332805,0.078743,82.9285,4.274083e-04,0.68,37.67
48,0.070117,0.359456,0.082771,82.4427,4.161751e-04,0.68,38.35
49,0.071076,0.335517,0.077144,83.4004,4.048734e-04,0.73,39.08
50,0.066502,0.333501,0.076245,83.2339,3.935154e-04,0.69,39.77
51,0.06533,0.340289,0.080297,83.22,3.821137e-04,0.72,40.5
52,0.061355,0.328771,0.07581,83.1922,3.706808e-04,0.7,41.19
53,0.05824,0.322555,0.074189,83.789,3.592290e-04,0.67,41.86
54,0.056845,0.325138,0.074686,83.8307,3.477710e-04,0.72,42.57
55,0.053151,0.324683,0.074508,83.6225,3.363192e-04,0.71,43.28
56,0.054104,0.347334,0.081849,82.9146,3.248863e-04,0.68,43.96
57,0.055004,0.352672,0.079377,83.109,3.134846e-04,0.72,44.68
58,0.055612,0.34326,0.075437,83.4837,3.021266e-04,0.67,45.35
59,0.046081,0.347399,0.077743,83.3171,2.908249e-04,0.66,46.02
60,0.045044,0.360565,0.075756,83.5253,2.795917e-04,0.7,46.71
61,0.046276,0.358266,0.078345,83.6086,2.684393e-04,0.69,47.4
62,0.046417,0.358098,0.078478,83.2061,2.573799e-04,0.67,48.08
63,0.043564,0.347837,0.077301,83.3727,2.464256e-04,0.73,48.81
64,0.041395,0.346727,0.07438,83.6364,2.355884e-04,0.64,49.45
65,0.037649,0.35699,0.075962,83.6364,2.248802e-04,0.62,50.07
66,0.040218,0.35198,0.077414,83.4976,2.143125e-04,0.69,50.76
67,0.039696,0.340442,0.07665,83.6502,2.038971e-04,0.64,51.39
68,0.037795,0.352919,0.077529,83.4837,1.936453e-04,0.68,52.08
69,0.033458,0.336519,0.073201,83.9139,1.835683e-04,0.69,52.77
70,0.033063,0.353316,0.074903,84.0805,1.736770e-04,0.66,53.43
71,0.031124,0.346013,0.074728,83.7474,1.639825e-04,0.65,54.08
72,0.031969,0.350916,0.077356,83.4698,1.544951e-04,0.71,54.78
73,0.030503,0.344938,0.07406,83.8168,1.452254e-04,0.68,55.46
74,0.03013,0.346613,0.07372,83.9695,1.361834e-04,0.67,56.13
75,0.029026,0.345119,0.073135,84.0805,1.273790e-04,0.7,56.82
76,0.02682,0.340587,0.069483,84.3442,1.188219e-04,0.65,57.48
77,0.02597,0.352533,0.073152,84.1638,1.105215e-04,0.65,58.13
78,0.027282,0.349946,0.07372,84.025,1.024867e-04,0.67,58.79
79,0.023546,0.350856,0.072313,84.1777,9.472636e-05,0.63,59.42
80,0.023977,0.361074,0.073925,83.9417,8.724902e-05,0.67,60.09
81,0.022985,0.370223,0.075727,83.789,8.006281e-05,0.71,60.8
82,0.022261,0.357736,0.074046,83.9833,7.317561e-05,0.61,61.42
83,0.021876,0.366372,0.075745,83.6919,6.659494e-05,0.62,62.04
84,0.02075,0.363415,0.073927,84.0389,6.032800e-05,0.68,62.72
85,0.019977,0.364275,0.074593,84.136,5.438163e-05,0.63,63.35
86,0.018223,0.365132,0.073158,84.1083,4.876235e-05,0.64,63.99
87,0.018709,0.361609,0.073227,84.0666,4.347629e-05,0.66,64.65
88,0.01793,0.365855,0.074473,83.8446,3.852924e-05,0.63,65.28
89,0.017227,0.369728,0.074808,83.8029,3.392660e-05,0.6,65.89
90,0.017624,0.37286,0.076598,83.6641,2.967341e-05,0.63,66.51
91,0.016974,0.369628,0.07549,83.7474,2.577433e-05,0.65,67.16
