epoch,train_loss,val_loss,val_cer,val_wa_pct,lr,epoch_time_min,elapsed_total_min
1,6.925684,3.497843,0.95779,3.949,1.400000e-04,1.98,1.98
2,3.103192,2.91397,0.785641,8.9307,2.800000e-04,1.69,3.67
3,2.844954,2.798173,0.714403,18.4083,4.200000e-04,2.08,5.75
4,2.56774,2.314986,0.62718,25.3341,5.600000e-04,1.96,7.71
5,2.19006,2.043919,0.58781,28.4933,7.000000e-04,2.03,9.75
6,1.876478,1.628311,0.520374,34.1434,7.000000e-04,2.05,11.8
7,1.556527,1.322744,0.439127,40.5225,6.994349e-04,2.29,14.08
8,1.236367,0.900758,0.287924,54.678,6.977414e-04,2.7,16.79
9,0.955843,0.713981,0.216239,65.2491,6.949251e-04,2.7,19.49
10,0.764029,0.630056,0.174205,71.4459,6.909951e-04,2.72,22.2
11,0.640163,0.539123,0.137645,78.4326,6.859643e-04,2.69,24.89
12,0.553578,0.47474,0.117779,80.1944,6.798491e-04,2.55,27.45
13,0.483876,0.457018,0.12612,78.8578,6.726693e-04,2.49,29.94
14,0.419842,0.426485,0.117442,81.1057,6.644486e-04,2.51,32.45
15,0.376816,0.403697,0.095277,84.3256,6.552135e-04,2.53,34.98
16,0.352042,0.378564,0.091517,84.4471,6.449943e-04,2.43,37.41
17,0.312263,0.370113,0.091414,84.5687,6.338244e-04,2.47,39.87
18,0.291377,0.352265,0.086606,85.1762,6.217401e-04,2.47,42.34
19,0.26093,0.34804,0.089051,85.1154,6.087808e-04,2.49,44.83
20,0.236415,0.341297,0.081288,86.5735,5.949889e-04,2.39,47.22
21,0.207662,0.374586,0.088368,85.2369,5.804092e-04,2.41,49.63
22,0.195002,0.334079,0.075792,87.0595,5.650895e-04,2.36,51.98
23,0.180672,0.331783,0.076353,87.3026,5.490796e-04,2.37,54.35
24,0.176291,0.342756,0.081328,86.6343,5.324317e-04,2.39,56.74
25,0.170162,0.349763,0.078542,87.181,5.152002e-04,2.37,59.11
26,0.145584,0.319709,0.071647,87.7886,4.974413e-04,2.31,61.42
27,0.136206,0.333778,0.077353,87.2418,4.792129e-04,2.28,63.7
28,0.128608,0.325768,0.075451,87.7278,4.605744e-04,2.26,65.96
29,0.120721,0.343551,0.073918,87.9708,4.415867e-04,2.31,68.27
30,0.115879,0.323245,0.074914,87.4848,4.223116e-04,2.28,70.54
31,0.106161,0.333943,0.077324,87.0595,4.028121e-04,2.28,72.83
32,0.102458,0.326109,0.076173,87.2418,3.831517e-04,2.25,75.07
33,0.092132,0.33901,0.070834,87.9708,3.633947e-04,2.29,77.36
34,0.088237,0.340942,0.072071,88.0316,3.436053e-04,2.27,79.63
35,0.083947,0.330235,0.067833,88.2139,3.238483e-04,2.3,81.93
36,0.077196,0.314046,0.068642,88.2746,3.041879e-04,2.25,84.18
37,0.074509,0.322152,0.068042,88.2746,2.846884e-04,2.29,86.47
38,0.073549,0.347439,0.066987,88.7606,2.654133e-04,2.3,88.77
39,0.069602,0.33252,0.069369,88.1531,2.464256e-04,2.27,91.04
40,0.066556,0.336133,0.070905,88.2746,2.277871e-04,2.36,93.4
41,0.063301,0.318033,0.068211,88.0923,2.095587e-04,2.43,95.84
42,0.057255,0.332125,0.066102,88.9429,1.917998e-04,2.39,98.23
43,0.053198,0.342505,0.064304,88.9429,1.745683e-04,2.36,100.59
44,0.053819,0.33548,0.068026,88.6391,1.579204e-04,2.39,102.98
45,0.050591,0.335787,0.069068,88.5176,1.419105e-04,2.39,105.37
46,0.047433,0.327134,0.066164,88.8214,1.265908e-04,2.35,107.72
47,0.045386,0.334612,0.069894,88.0923,1.120111e-04,2.33,110.06
48,0.043966,0.339774,0.063232,89.4289,9.821920e-05,2.29,112.34
49,0.041946,0.336456,0.066555,88.7606,8.525993e-05,2.33,114.67
50,0.042198,0.333237,0.063939,89.1252,7.317561e-05,2.27,116.94
51,0.03924,0.322248,0.060601,89.6112,6.200565e-05,2.35,119.29
